Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3500105;Interior;Adamantina;506;13;;
3500204;Interior;Adolfo;134;5;;
3500303;Interior;Aguaí;376;7;;
3500402;Interior;Águas da Prata;70;5;;
3500501;Interior;Águas de Lindóia;211;6;;
3500550;Interior;Águas de Santa Bárbara;27;1;;
3500600;Interior;Águas de São Pedro;65;2;;
3500709;Interior;Agudos;837;17;;
3500758;Interior;Alambari;89;4;;
3500808;Interior;Alfredo Marcondes;73;3;;
3500907;Interior;Altair;51;3;;
3501004;Interior;Altinópolis;240;8;;
3501103;Interior;Alto Alegre;78;3;;
3501152;Interior;Alumínio;299;9;;
3501202;Interior;Álvares Florence;83;6;;
3501301;Interior;Álvares Machado;301;9;;
3501400;Interior;Álvaro de Carvalho;37;4;;
3501509;Interior;Alvinlândia;27;0;;
3501608;Interior;Americana;5916;177;;
3501707;Interior;Américo Brasiliense;860;15;;
3501806;Interior;Américo de Campos;339;12;;
3501905;Interior;Amparo;1331;35;;
3502002;Interior;Analândia;40;2;;
3502101;Interior;Andradina;1693;55;;
3502200;Interior;Angatuba;350;9;;
3502309;Interior;Anhembi;25;0;;
3502408;Interior;Anhumas;100;0;;
3502507;Interior;Aparecida;601;18;;
3502606;Interior;Aparecida d'Oeste;304;8;;
3502705;Interior;Apiaí;164;6;;
3502754;Interior;Araçariguama;441;9;;
3502804;Interior;Araçatuba;8155;187;;
3502903;Interior;Araçoiaba da Serra;692;14;;
3503000;Interior;Aramina;134;5;;
3503109;Interior;Arandu;54;3;;
3503158;Interior;Arapeí;7;1;;
3503208;Interior;Araraquara;6243;75;;
3503307;Interior;Araras;5366;85;;
3503356;Interior;Arco-Íris;12;0;;
3503406;Interior;Arealva;152;2;;
3503505;Interior;Areias;57;0;;
3503604;Interior;Areiópolis;146;4;;
3503703;Interior;Ariranha;186;7;;
3503802;Interior;Artur Nogueira;1264;30;;
3503901;RMSP (exceto capital);Arujá;2452;99;;
3503950;Interior;Aspásia;49;2;;
3504008;Interior;Assis;1706;28;;
3504107;Interior;Atibaia;2592;66;;
3504206;Interior;Auriflama;542;14;;
3504305;Interior;Avaí;121;3;;
3504404;Interior;Avanhandava;252;8;;
3504503;Interior;Avaré;981;20;;
3504602;Interior;Bady Bassitt;1029;22;;
3504701;Interior;Balbinos;251;3;;
3504800;Interior;Bálsamo;568;26;;
3504909;Interior;Bananal;147;1;;
3505005;Interior;Barão de Antonina;25;1;;
3505104;Interior;Barbosa;132;1;;
3505203;Interior;Bariri;1165;29;;
3505302;Interior;Barra Bonita;1084;25;;
3505351;Interior;Barra do Chapéu;51;0;;
3505401;Interior;Barra do Turvo;183;5;;
3505500;Interior;Barretos;5526;152;;
3505609;Interior;Barrinha;798;32;;
3505708;RMSP (exceto capital);Barueri;8710;408;;
3505807;Interior;Bastos;190;6;;
3505906;Interior;Batatais;808;23;;
3506003;Interior;Bauru;15343;267;;
3506102;Interior;Bebedouro;1509;33;;
3506201;Interior;Bento de Abreu;44;0;;
3506300;Interior;Bernardino de Campos;122;3;;
3506359;Interior;Bertioga;2128;49;;
3506409;Interior;Bilac;125;2;;
3506508;Interior;Birigui;3195;99;;
3506607;RMSP (exceto capital);Biritiba Mirim;512;32;;
3506706;Interior;Boa Esperança do Sul;226;6;;
3506805;Interior;Bocaina;201;3;;
3506904;Interior;Bofete;166;4;;
3507001;Interior;Boituva;1338;22;;
3507100;Interior;Bom Jesus dos Perdões;391;3;;
3507159;Interior;Bom Sucesso de Itararé;9;1;;
3507209;Interior;Borá;5;0;;
3507308;Interior;Boracéia;144;2;;
3507407;Interior;Borborema;309;10;;
3507456;Interior;Borebi;49;2;;
3507506;Interior;Botucatu;2984;52;;
3507605;Interior;Bragança Paulista;4508;89;;
3507704;Interior;Braúna;113;7;;
3507753;Interior;Brejo Alegre;101;6;;
3507803;Interior;Brodowski;643;22;;
3507902;Interior;Brotas;170;4;;
3508009;Interior;Buri;322;10;;
3508108;Interior;Buritama;502;15;;
3508207;Interior;Buritizal;66;3;;
3508306;Interior;Cabrália Paulista;102;0;;
3508405;Interior;Cabreúva;1279;41;;
3508504;Interior;Caçapava;1672;62;;
3508603;Interior;Cachoeira Paulista;428;16;;
3508702;Interior;Caconde;206;1;;
3508801;Interior;Cafelândia;409;12;;
3508900;Interior;Caiabu;40;2;;
3509007;RMSP (exceto capital);Caieiras;2686;104;;
3509106;Interior;Caiuá;61;1;;
3509205;RMSP (exceto capital);Cajamar;1691;78;;
3509254;Interior;Cajati;1919;35;;
3509304;Interior;Cajobi;237;7;;
3509403;Interior;Cajuru;495;14;;
3509452;Interior;Campina do Monte Alegre;87;0;;
3509502;Interior;Campinas;36101;1360;;
3509601;Interior;Campo Limpo Paulista;1436;72;;
3509700;Interior;Campos do Jordão;1071;31;;
3509809;Interior;Campos Novos Paulista;123;2;;
3509908;Interior;Cananéia;218;9;;
3509957;Interior;Canas;52;2;;
3510005;Interior;Cândido Mota;419;6;;
3510104;Interior;Cândido Rodrigues;50;1;;
3510153;Interior;Canitar;48;1;;
3510203;Interior;Capão Bonito;933;29;;
3510302;Interior;Capela do Alto;364;5;;
3510401;Interior;Capivari;1511;36;;
3510500;Interior;Caraguatatuba;2808;115;;
3510609;RMSP (exceto capital);Carapicuíba;9826;379;;
3510708;Interior;Cardoso;205;9;;
3510807;Interior;Casa Branca;556;11;;
3510906;Interior;Cássia dos Coqueiros;71;0;;
3511003;Interior;Castilho;581;11;;
3511102;Interior;Catanduva;4675;171;;
3511201;Interior;Catiguá;300;8;;
3511300;Interior;Cedral;281;9;;
3511409;Interior;Cerqueira César;198;6;;
3511508;Interior;Cerquilho;894;17;;
3511607;Interior;Cesário Lange;211;6;;
3511706;Interior;Charqueada;366;8;;
3511904;Interior;Clementina;171;2;;
3512001;Interior;Colina;324;15;;
3512100;Interior;Colômbia;116;2;;
3512209;Interior;Conchal;612;16;;
3512308;Interior;Conchas;335;8;;
3512407;Interior;Cordeirópolis;1791;24;;
3512506;Interior;Coroados;140;2;;
3512605;Interior;Coronel Macedo;38;2;;
3512704;Interior;Corumbataí;128;2;;
3512803;Interior;Cosmópolis;1826;42;;
3512902;Interior;Cosmorama;306;21;;
